** ------------ Hollister, CA            01Apr18 ------------
**++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
**                  Control Points for Hollister, California                   +
**                                                                             +
**                                Version 2018                                 +
**                                                                             +
**                         Contributed by Ramy Yanetz                          +
**                                                                             +
**                     Contribution date was 16 March 2018                     +
**               File created Sunday, 01 April 2018 at 07:41 GMT               +
**         Available from the Worldwide Soaring Turnpoint Exchange at          +
**                            http://soaringweb.org/TP                         +
**                 or http://soaring.guenther-eichhorn.com/TP                  +
**                     or http://soaring.geichhorn.com/TP                      +
**                     or http://serkowski.com/soaring/TP                      +
**                    or http://soaring.silentflight.ca/TP                     +
**                       or http://soaring.gahsys.com/TP                       +
**                                                                             +
**                          Magnetic variation: 13.9E                          +
**                                                                             +
**                            Time zone: US/Pacific                            +
**         Summer offset from GMT is -7:00, and in Winter it is -8:00          +
**                                                                             +
**            Comment is control point description where available             +
**                                                                             +
**              NOTE: There are 378 waypoints in this collection.              +
**           The CAI GPS-NAV can handle only 250, so edit this file            +
**                 with Notepad on your PC or the CAI software                 +
**                   to choose the 250 that you wish to use.                   +
**                It would be prudent to choose fewer than 250.                +
**               to leave room for 'MarkPoints' and a 'Thermal'.               +
**                                                                             +
**    There is no virtually no limit for CAI Pocket-NAV and WinPilot users.    +
**                                                                             +
**                      UNOFFICIAL, USE AT YOUR OWN RISK                       +
**                                                                             +
**          Do not use for navigation, for flight verification only.           +
**                                                                             +
**      Always consult the relevant publications for current and correct       +
**  information. This service is provided free of charge with no warrantees,   +
**                            expressed or implied.                            +
**                        User assumes all risk of use.                        +
**                                                                             +
**++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
1,36:53:30N,121:24:30W,230F,TAHSF,HOLLISTER   ,24/06 23.0
2,35:53:22N,120:02:49W,559F,T,41/33 Int   ,            
3,35:44:00N,120:17:22W,1138F,T,46/41 Int   ,            
4,34:56:08N,119:27:06W,3176F,TA,7R Ranch    ,Land To SE fence accros SE end
5,34:32:15N,117:27:38W,3075F,TA,Adelanto    ,E/W 51D
6,34:30:15N,118:18:46W,2660F,TA,Agua Dulce  ,4/22 46A
7,37:23:18N,120:55:39W,73F,TA,Ahlem Farms ,8/26 26A
8,36:30:52N,119:45:50W,252F,TA,Al Divine   ,16/34 24A
9,36:32:25N,119:18:58W,364F,T,Alta        ,CrackAsphalt
10,36:00:22N,120:08:47W,790F,TAS,AVENAL      ,12/30 23.3
11,36:54:52N,119:47:09W,382F,T,Arnold Ranch,            
12,36:43:04N,119:08:13W,2150F,TA,Baker + Hall,E/W 34D
13,35:19:29N,118:59:45W,376F,TA,Bakersfield ,16/34 22.8
14,35:28:23N,119:43:44W,575F,T,Belridge    ,NW/SE rough may be unlandable due to obstructions good fields SE
16,36:23:22N,121:00:12W,1500F,LT,Bitter      ,rough strip or fields
17,35:56:23N,120:19:16W,4222F,T,Black Mtn   ,            
19,36:42:45N,120:01:49W,222F,T,Bland       ,            
20,35:35:42N,120:20:20W,1140F,TL,Blech Ranch ,16/34 33A unknown
21,35:24:17N,120:31:30W,1380F,T,Bogdan      ,07/25 18G unlandable
22,34:41:41N,118:16:59W,2410F,TL,Bohunk      ,09/27 19D
23,37:31:25N,120:23:52W,295F,TA,Bonanza     ,7/25 41S
24,35:40:09N,120:32:55W,1030F,TL,Bonel       ,17/35 20T
